Year,Geography,Measure,Value
1960,K02000001,Cooling Degree Days,5.54
1961,K02000001,Cooling Degree Days,6.92
1962,K02000001,Cooling Degree Days,1.15
1963,K02000001,Cooling Degree Days,4.62
1964,K02000001,Cooling Degree Days,5.99
1965,K02000001,Cooling Degree Days,1.71
1966,K02000001,Cooling Degree Days,3.39
1967,K02000001,Cooling Degree Days,4.78
1968,K02000001,Cooling Degree Days,3.84
1969,K02000001,Cooling Degree Days,10.16
1970,K02000001,Cooling Degree Days,11.05
1971,K02000001,Cooling Degree Days,5.9
1972,K02000001,Cooling Degree Days,3.3
1973,K02000001,Cooling Degree Days,10.37
1974,K02000001,Cooling Degree Days,1.58
1975,K02000001,Cooling Degree Days,23.33
1976,K02000001,Cooling Degree Days,38.0
1977,K02000001,Cooling Degree Days,5.97
1978,K02000001,Cooling Degree Days,4.64
1979,K02000001,Cooling Degree Days,5.05
1980,K02000001,Cooling Degree Days,4.36
1981,K02000001,Cooling Degree Days,6.19
1982,K02000001,Cooling Degree Days,11.87
1983,K02000001,Cooling Degree Days,24.52
1984,K02000001,Cooling Degree Days,15.26
1985,K02000001,Cooling Degree Days,4.14
1986,K02000001,Cooling Degree Days,7.3
1987,K02000001,Cooling Degree Days,5.74
1988,K02000001,Cooling Degree Days,3.55
1989,K02000001,Cooling Degree Days,24.43
1990,K02000001,Cooling Degree Days,22.04
1991,K02000001,Cooling Degree Days,11.26
1992,K02000001,Cooling Degree Days,8.64
1993,K02000001,Cooling Degree Days,3.85
1994,K02000001,Cooling Degree Days,11.22
1995,K02000001,Cooling Degree Days,38.09
1996,K02000001,Cooling Degree Days,12.57
1997,K02000001,Cooling Degree Days,17.85
1998,K02000001,Cooling Degree Days,5.89
1999,K02000001,Cooling Degree Days,16.02
2000,K02000001,Cooling Degree Days,8.55
2001,K02000001,Cooling Degree Days,12.28
2002,K02000001,Cooling Degree Days,7.29
2003,K02000001,Cooling Degree Days,26.18
2004,K02000001,Cooling Degree Days,11.53
2005,K02000001,Cooling Degree Days,15.83
2006,K02000001,Cooling Degree Days,30.08
2007,K02000001,Cooling Degree Days,3.9
2008,K02000001,Cooling Degree Days,6.94
2009,K02000001,Cooling Degree Days,10.23
2010,K02000001,Cooling Degree Days,10.63
2011,K02000001,Cooling Degree Days,9.66
2012,K02000001,Cooling Degree Days,9.36
2013,K02000001,Cooling Degree Days,19.17
2014,K02000001,Cooling Degree Days,11.58
2015,K02000001,Cooling Degree Days,7.89
2016,K02000001,Cooling Degree Days,13.87
2017,K02000001,Cooling Degree Days,12.41
2018,K02000001,Cooling Degree Days,31.91
2019,K02000001,Cooling Degree Days,17.93
2020,K02000001,Cooling Degree Days,22.07
2021,K02000001,Cooling Degree Days,15.41
2022,K02000001,Cooling Degree Days,33.92
1960,E92000001,Cooling Degree Days,7.85
1961,E92000001,Cooling Degree Days,11.59
1962,E92000001,Cooling Degree Days,1.91
1963,E92000001,Cooling Degree Days,6.81
1964,E92000001,Cooling Degree Days,10.69
1965,E92000001,Cooling Degree Days,2.71
1966,E92000001,Cooling Degree Days,5.77
1967,E92000001,Cooling Degree Days,8.21
1968,E92000001,Cooling Degree Days,6.02
1969,E92000001,Cooling Degree Days,16.35
1970,E92000001,Cooling Degree Days,16.68
1971,E92000001,Cooling Degree Days,8.82
1972,E92000001,Cooling Degree Days,3.88
1973,E92000001,Cooling Degree Days,16.44
1974,E92000001,Cooling Degree Days,2.61
1975,E92000001,Cooling Degree Days,34.55
1976,E92000001,Cooling Degree Days,55.91
1977,E92000001,Cooling Degree Days,7.27
1978,E92000001,Cooling Degree Days,6.66
1979,E92000001,Cooling Degree Days,8.51
1980,E92000001,Cooling Degree Days,6.93
1981,E92000001,Cooling Degree Days,10.61
1982,E92000001,Cooling Degree Days,17.09
1983,E92000001,Cooling Degree Days,35.4
1984,E92000001,Cooling Degree Days,22.36
1985,E92000001,Cooling Degree Days,6.91
1986,E92000001,Cooling Degree Days,10.45
1987,E92000001,Cooling Degree Days,9.85
1988,E92000001,Cooling Degree Days,5.43
1989,E92000001,Cooling Degree Days,37.11
1990,E92000001,Cooling Degree Days,35.44
1991,E92000001,Cooling Degree Days,17.51
1992,E92000001,Cooling Degree Days,13.97
1993,E92000001,Cooling Degree Days,6.62
1994,E92000001,Cooling Degree Days,19.6
1995,E92000001,Cooling Degree Days,54.0
1996,E92000001,Cooling Degree Days,20.93
1997,E92000001,Cooling Degree Days,27.64
1998,E92000001,Cooling Degree Days,9.94
1999,E92000001,Cooling Degree Days,24.83
2000,E92000001,Cooling Degree Days,14.02
2001,E92000001,Cooling Degree Days,20.7
2002,E92000001,Cooling Degree Days,12.57
2003,E92000001,Cooling Degree Days,40.4
2004,E92000001,Cooling Degree Days,19.42
2005,E92000001,Cooling Degree Days,25.55
2006,E92000001,Cooling Degree Days,46.15
2007,E92000001,Cooling Degree Days,6.57
2008,E92000001,Cooling Degree Days,11.0
2009,E92000001,Cooling Degree Days,15.4
2010,E92000001,Cooling Degree Days,18.52
2011,E92000001,Cooling Degree Days,16.76
2012,E92000001,Cooling Degree Days,14.77
2013,E92000001,Cooling Degree Days,29.12
2014,E92000001,Cooling Degree Days,17.74
2015,E92000001,Cooling Degree Days,13.37
2016,E92000001,Cooling Degree Days,22.69
2017,E92000001,Cooling Degree Days,19.98
2018,E92000001,Cooling Degree Days,49.74
2019,E92000001,Cooling Degree Days,28.96
2020,E92000001,Cooling Degree Days,36.4
2021,E92000001,Cooling Degree Days,22.16
2022,E92000001,Cooling Degree Days,54.29
1960,W92000004,Cooling Degree Days,5.3
1961,W92000004,Cooling Degree Days,5.65
1962,W92000004,Cooling Degree Days,0.36
1963,W92000004,Cooling Degree Days,5.45
1964,W92000004,Cooling Degree Days,1.82
1965,W92000004,Cooling Degree Days,1.99
1966,W92000004,Cooling Degree Days,1.3
1967,W92000004,Cooling Degree Days,2.77
1968,W92000004,Cooling Degree Days,2.29
