Year,Geography,Measure,Value
1836,K02000001,accumulation,1123.8
1837,K02000001,accumulation,908.9
1838,K02000001,accumulation,937.4
1839,K02000001,accumulation,1063.6
1840,K02000001,accumulation,889.8
1841,K02000001,accumulation,1121.4
1842,K02000001,accumulation,923.5
1843,K02000001,accumulation,1004.3
1844,K02000001,accumulation,830.4
1845,K02000001,accumulation,1028.5
1846,K02000001,accumulation,1061.8
1847,K02000001,accumulation,962.2
1848,K02000001,accumulation,1179.5
1849,K02000001,accumulation,987.0
1850,K02000001,accumulation,949.4
1851,K02000001,accumulation,907.0
1852,K02000001,accumulation,1256.2
1853,K02000001,accumulation,941.1
1854,K02000001,accumulation,903.6
1855,K02000001,accumulation,787.2
1856,K02000001,accumulation,931.6
1857,K02000001,accumulation,915.2
1858,K02000001,accumulation,876.5
1859,K02000001,accumulation,1042.7
1860,K02000001,accumulation,1104.1
1861,K02000001,accumulation,1054.6
1862,K02000001,accumulation,1100.7
1863,K02000001,accumulation,1086.9
1864,K02000001,accumulation,910.8
1865,K02000001,accumulation,977.0
1866,K02000001,accumulation,1174.1
1867,K02000001,accumulation,1024.3
1868,K02000001,accumulation,1144.7
1869,K02000001,accumulation,1066.0
1870,K02000001,accumulation,854.9
1871,K02000001,accumulation,980.8
1872,K02000001,accumulation,1437.8
1873,K02000001,accumulation,996.8
1874,K02000001,accumulation,1045.6
1875,K02000001,accumulation,1092.1
1876,K02000001,accumulation,1148.0
1877,K02000001,accumulation,1325.5
1878,K02000001,accumulation,1038.6
1879,K02000001,accumulation,1018.3
1880,K02000001,accumulation,1034.9
1881,K02000001,accumulation,1045.1
1882,K02000001,accumulation,1247.8
1883,K02000001,accumulation,1124.2
1884,K02000001,accumulation,1019.9
1885,K02000001,accumulation,1014.7
1886,K02000001,accumulation,1096.2
1887,K02000001,accumulation,807.3
1888,K02000001,accumulation,993.9
1889,K02000001,accumulation,931.7
1890,K02000001,accumulation,1011.3
1891,K02000001,accumulation,1108.1
1892,K02000001,accumulation,978.0
1893,K02000001,accumulation,939.8
1894,K02000001,accumulation,1101.4
1895,K02000001,accumulation,960.3
1896,K02000001,accumulation,986.0
1897,K02000001,accumulation,1035.9
1898,K02000001,accumulation,1021.5
1899,K02000001,accumulation,1016.9
1900,K02000001,accumulation,1148.2
1901,K02000001,accumulation,925.1
1902,K02000001,accumulation,881.7
1903,K02000001,accumulation,1343.5
1904,K02000001,accumulation,963.8
1905,K02000001,accumulation,932.7
1906,K02000001,accumulation,1067.1
1907,K02000001,accumulation,1042.7
1908,K02000001,accumulation,978.4
1909,K02000001,accumulation,1036.5
1910,K02000001,accumulation,1128.3
1911,K02000001,accumulation,1011.3
1912,K02000001,accumulation,1218.0
1913,K02000001,accumulation,1011.6
1914,K02000001,accumulation,1101.1
1915,K02000001,accumulation,1049.6
1916,K02000001,accumulation,1179.6
1917,K02000001,accumulation,1021.4
1918,K02000001,accumulation,1113.0
1919,K02000001,accumulation,1015.1
1920,K02000001,accumulation,1127.5
1921,K02000001,accumulation,891.2
1922,K02000001,accumulation,1032.2
1923,K02000001,accumulation,1203.6
1924,K02000001,accumulation,1163.6
1925,K02000001,accumulation,1057.2
1926,K02000001,accumulation,1082.8
1927,K02000001,accumulation,1198.0
1928,K02000001,accumulation,1238.4
1929,K02000001,accumulation,1047.8
1930,K02000001,accumulation,1167.1
1931,K02000001,accumulation,1106.0
