Year,Geography,Measure,Value
1960,K02000001,number-of-growing-season-days,277.3
1961,K02000001,number-of-growing-season-days,296.6
1962,K02000001,number-of-growing-season-days,249.4
1963,K02000001,number-of-growing-season-days,256.8
1964,K02000001,number-of-growing-season-days,269.6
1965,K02000001,number-of-growing-season-days,275.7
1966,K02000001,number-of-growing-season-days,279.1
1967,K02000001,number-of-growing-season-days,292.9
1968,K02000001,number-of-growing-season-days,289.1
1969,K02000001,number-of-growing-season-days,269.3
1970,K02000001,number-of-growing-season-days,272.9
1971,K02000001,number-of-growing-season-days,280.0
1972,K02000001,number-of-growing-season-days,268.1
1973,K02000001,number-of-growing-season-days,275.1
1974,K02000001,number-of-growing-season-days,296.3
1975,K02000001,number-of-growing-season-days,308.9
1976,K02000001,number-of-growing-season-days,304.9
1977,K02000001,number-of-growing-season-days,266.4
1978,K02000001,number-of-growing-season-days,262.6
1979,K02000001,number-of-growing-season-days,221.2
1980,K02000001,number-of-growing-season-days,259.1
1981,K02000001,number-of-growing-season-days,280.4
1982,K02000001,number-of-growing-season-days,272.0
1983,K02000001,number-of-growing-season-days,312.9
1984,K02000001,number-of-growing-season-days,264.8
1985,K02000001,number-of-growing-season-days,260.4
1986,K02000001,number-of-growing-season-days,266.7
1987,K02000001,number-of-growing-season-days,261.3
1988,K02000001,number-of-growing-season-days,269.1
1989,K02000001,number-of-growing-season-days,304.4
1990,K02000001,number-of-growing-season-days,291.8
1991,K02000001,number-of-growing-season-days,268.9
1992,K02000001,number-of-growing-season-days,292.1
1993,K02000001,number-of-growing-season-days,281.7
1994,K02000001,number-of-growing-season-days,296.7
1995,K02000001,number-of-growing-season-days,288.2
1996,K02000001,number-of-growing-season-days,303.1
1997,K02000001,number-of-growing-season-days,290.3
1998,K02000001,number-of-growing-season-days,304.7
1999,K02000001,number-of-growing-season-days,312.1
2000,K02000001,number-of-growing-season-days,309.9
2001,K02000001,number-of-growing-season-days,270.5
2002,K02000001,number-of-growing-season-days,300.6
2003,K02000001,number-of-growing-season-days,302.5
2004,K02000001,number-of-growing-season-days,326.5
2005,K02000001,number-of-growing-season-days,304.1
2006,K02000001,number-of-growing-season-days,300.9
2007,K02000001,number-of-growing-season-days,331.0
2008,K02000001,number-of-growing-season-days,288.6
2009,K02000001,number-of-growing-season-days,282.6
2010,K02000001,number-of-growing-season-days,246.1
2011,K02000001,number-of-growing-season-days,308.6
2012,K02000001,number-of-growing-season-days,305.5
2013,K02000001,number-of-growing-season-days,329.3
2014,K02000001,number-of-growing-season-days,307.9
2015,K02000001,number-of-growing-season-days,318.6
2016,K02000001,number-of-growing-season-days,303.0
2017,K02000001,number-of-growing-season-days,292.7
2018,K02000001,number-of-growing-season-days,270.6
2019,K02000001,number-of-growing-season-days,295.8
2020,K02000001,number-of-growing-season-days,319.0
2021,K02000001,number-of-growing-season-days,286.7
2022,K02000001,number-of-growing-season-days,293.2
1960,E92000001,number-of-growing-season-days,293.4
1961,E92000001,number-of-growing-season-days,308.9
1962,E92000001,number-of-growing-season-days,263.8
1963,E92000001,number-of-growing-season-days,267.8
1964,E92000001,number-of-growing-season-days,281.7
1965,E92000001,number-of-growing-season-days,294.2
1966,E92000001,number-of-growing-season-days,299.6
1967,E92000001,number-of-growing-season-days,302.9
1968,E92000001,number-of-growing-season-days,315.6
1969,E92000001,number-of-growing-season-days,289.4
1970,E92000001,number-of-growing-season-days,304.8
1971,E92000001,number-of-growing-season-days,283.5
1972,E92000001,number-of-growing-season-days,282.6
1973,E92000001,number-of-growing-season-days,289.3
1974,E92000001,number-of-growing-season-days,320.4
1975,E92000001,number-of-growing-season-days,329.6
1976,E92000001,number-of-growing-season-days,316.7
1977,E92000001,number-of-growing-season-days,283.9
1978,E92000001,number-of-growing-season-days,275.7
1979,E92000001,number-of-growing-season-days,232.0
1980,E92000001,number-of-growing-season-days,271.1
1981,E92000001,number-of-growing-season-days,292.8
1982,E92000001,number-of-growing-season-days,283.4
1983,E92000001,number-of-growing-season-days,330.2
1984,E92000001,number-of-growing-season-days,278.9
1985,E92000001,number-of-growing-season-days,270.2
1986,E92000001,number-of-growing-season-days,299.3
1987,E92000001,number-of-growing-season-days,281.8
1988,E92000001,number-of-growing-season-days,287.6
1989,E92000001,number-of-growing-season-days,313.6
