Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1960,1960,1960,,0,,http://reference.data.gov.uk/id/year/1960
1961,1961,1961,,1,,http://reference.data.gov.uk/id/year/1961
1962,1962,1962,,2,,http://reference.data.gov.uk/id/year/1962
1963,1963,1963,,3,,http://reference.data.gov.uk/id/year/1963
1964,1964,1964,,4,,http://reference.data.gov.uk/id/year/1964
1965,1965,1965,,5,,http://reference.data.gov.uk/id/year/1965
1966,1966,1966,,6,,http://reference.data.gov.uk/id/year/1966
1967,1967,1967,,7,,http://reference.data.gov.uk/id/year/1967
1968,1968,1968,,8,,http://reference.data.gov.uk/id/year/1968
1969,1969,1969,,9,,http://reference.data.gov.uk/id/year/1969
1970,1970,1970,,10,,http://reference.data.gov.uk/id/year/1970
1971,1971,1971,,11,,http://reference.data.gov.uk/id/year/1971
1972,1972,1972,,12,,http://reference.data.gov.uk/id/year/1972
1973,1973,1973,,13,,http://reference.data.gov.uk/id/year/1973
1974,1974,1974,,14,,http://reference.data.gov.uk/id/year/1974
1975,1975,1975,,15,,http://reference.data.gov.uk/id/year/1975
1976,1976,1976,,16,,http://reference.data.gov.uk/id/year/1976
1977,1977,1977,,17,,http://reference.data.gov.uk/id/year/1977
1978,1978,1978,,18,,http://reference.data.gov.uk/id/year/1978
1979,1979,1979,,19,,http://reference.data.gov.uk/id/year/1979
1980,1980,1980,,20,,http://reference.data.gov.uk/id/year/1980
1981,1981,1981,,21,,http://reference.data.gov.uk/id/year/1981
1982,1982,1982,,22,,http://reference.data.gov.uk/id/year/1982
1983,1983,1983,,23,,http://reference.data.gov.uk/id/year/1983
1984,1984,1984,,24,,http://reference.data.gov.uk/id/year/1984
1985,1985,1985,,25,,http://reference.data.gov.uk/id/year/1985
1986,1986,1986,,26,,http://reference.data.gov.uk/id/year/1986
1987,1987,1987,,27,,http://reference.data.gov.uk/id/year/1987
1988,1988,1988,,28,,http://reference.data.gov.uk/id/year/1988
1989,1989,1989,,29,,http://reference.data.gov.uk/id/year/1989
1990,1990,1990,,30,,http://reference.data.gov.uk/id/year/1990
1991,1991,1991,,31,,http://reference.data.gov.uk/id/year/1991
1992,1992,1992,,32,,http://reference.data.gov.uk/id/year/1992
1993,1993,1993,,33,,http://reference.data.gov.uk/id/year/1993
1994,1994,1994,,34,,http://reference.data.gov.uk/id/year/1994
1995,1995,1995,,35,,http://reference.data.gov.uk/id/year/1995
1996,1996,1996,,36,,http://reference.data.gov.uk/id/year/1996
1997,1997,1997,,37,,http://reference.data.gov.uk/id/year/1997
1998,1998,1998,,38,,http://reference.data.gov.uk/id/year/1998
1999,1999,1999,,39,,http://reference.data.gov.uk/id/year/1999
2000,2000,2000,,40,,http://reference.data.gov.uk/id/year/2000
2001,2001,2001,,41,,http://reference.data.gov.uk/id/year/2001
2002,2002,2002,,42,,http://reference.data.gov.uk/id/year/2002
2003,2003,2003,,43,,http://reference.data.gov.uk/id/year/2003
2004,2004,2004,,44,,http://reference.data.gov.uk/id/year/2004
2005,2005,2005,,45,,http://reference.data.gov.uk/id/year/2005
2006,2006,2006,,46,,http://reference.data.gov.uk/id/year/2006
2007,2007,2007,,47,,http://reference.data.gov.uk/id/year/2007
2008,2008,2008,,48,,http://reference.data.gov.uk/id/year/2008
2009,2009,2009,,49,,http://reference.data.gov.uk/id/year/2009
2010,2010,2010,,50,,http://reference.data.gov.uk/id/year/2010
2011,2011,2011,,51,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,52,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,53,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,54,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,55,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,56,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,57,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,58,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,59,,http://reference.data.gov.uk/id/year/2019
2020,2020,2020,,60,,http://reference.data.gov.uk/id/year/2020
2021,2021,2021,,61,,http://reference.data.gov.uk/id/year/2021
2022,2022,2022,,62,,http://reference.data.gov.uk/id/year/2022
