Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1884,1884,1884,,0,,http://reference.data.gov.uk/id/year/1884
1885,1885,1885,,1,,http://reference.data.gov.uk/id/year/1885
1886,1886,1886,,2,,http://reference.data.gov.uk/id/year/1886
1887,1887,1887,,3,,http://reference.data.gov.uk/id/year/1887
1888,1888,1888,,4,,http://reference.data.gov.uk/id/year/1888
1889,1889,1889,,5,,http://reference.data.gov.uk/id/year/1889
1890,1890,1890,,6,,http://reference.data.gov.uk/id/year/1890
1891,1891,1891,,7,,http://reference.data.gov.uk/id/year/1891
1892,1892,1892,,8,,http://reference.data.gov.uk/id/year/1892
1893,1893,1893,,9,,http://reference.data.gov.uk/id/year/1893
1894,1894,1894,,10,,http://reference.data.gov.uk/id/year/1894
1895,1895,1895,,11,,http://reference.data.gov.uk/id/year/1895
1896,1896,1896,,12,,http://reference.data.gov.uk/id/year/1896
1897,1897,1897,,13,,http://reference.data.gov.uk/id/year/1897
1898,1898,1898,,14,,http://reference.data.gov.uk/id/year/1898
1899,1899,1899,,15,,http://reference.data.gov.uk/id/year/1899
1900,1900,1900,,16,,http://reference.data.gov.uk/id/year/1900
1901,1901,1901,,17,,http://reference.data.gov.uk/id/year/1901
1902,1902,1902,,18,,http://reference.data.gov.uk/id/year/1902
1903,1903,1903,,19,,http://reference.data.gov.uk/id/year/1903
1904,1904,1904,,20,,http://reference.data.gov.uk/id/year/1904
1905,1905,1905,,21,,http://reference.data.gov.uk/id/year/1905
1906,1906,1906,,22,,http://reference.data.gov.uk/id/year/1906
1907,1907,1907,,23,,http://reference.data.gov.uk/id/year/1907
1908,1908,1908,,24,,http://reference.data.gov.uk/id/year/1908
1909,1909,1909,,25,,http://reference.data.gov.uk/id/year/1909
1910,1910,1910,,26,,http://reference.data.gov.uk/id/year/1910
1911,1911,1911,,27,,http://reference.data.gov.uk/id/year/1911
1912,1912,1912,,28,,http://reference.data.gov.uk/id/year/1912
1913,1913,1913,,29,,http://reference.data.gov.uk/id/year/1913
1914,1914,1914,,30,,http://reference.data.gov.uk/id/year/1914
1915,1915,1915,,31,,http://reference.data.gov.uk/id/year/1915
1916,1916,1916,,32,,http://reference.data.gov.uk/id/year/1916
1917,1917,1917,,33,,http://reference.data.gov.uk/id/year/1917
