Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1836,1836,1836,,0,,http://reference.data.gov.uk/id/year/1836
1837,1837,1837,,1,,http://reference.data.gov.uk/id/year/1837
1838,1838,1838,,2,,http://reference.data.gov.uk/id/year/1838
1839,1839,1839,,3,,http://reference.data.gov.uk/id/year/1839
1840,1840,1840,,4,,http://reference.data.gov.uk/id/year/1840
1841,1841,1841,,5,,http://reference.data.gov.uk/id/year/1841
1842,1842,1842,,6,,http://reference.data.gov.uk/id/year/1842
1843,1843,1843,,7,,http://reference.data.gov.uk/id/year/1843
1844,1844,1844,,8,,http://reference.data.gov.uk/id/year/1844
1845,1845,1845,,9,,http://reference.data.gov.uk/id/year/1845
1846,1846,1846,,10,,http://reference.data.gov.uk/id/year/1846
1847,1847,1847,,11,,http://reference.data.gov.uk/id/year/1847
1848,1848,1848,,12,,http://reference.data.gov.uk/id/year/1848
1849,1849,1849,,13,,http://reference.data.gov.uk/id/year/1849
1850,1850,1850,,14,,http://reference.data.gov.uk/id/year/1850
1851,1851,1851,,15,,http://reference.data.gov.uk/id/year/1851
1852,1852,1852,,16,,http://reference.data.gov.uk/id/year/1852
1853,1853,1853,,17,,http://reference.data.gov.uk/id/year/1853
1854,1854,1854,,18,,http://reference.data.gov.uk/id/year/1854
1855,1855,1855,,19,,http://reference.data.gov.uk/id/year/1855
1856,1856,1856,,20,,http://reference.data.gov.uk/id/year/1856
1857,1857,1857,,21,,http://reference.data.gov.uk/id/year/1857
1858,1858,1858,,22,,http://reference.data.gov.uk/id/year/1858
1859,1859,1859,,23,,http://reference.data.gov.uk/id/year/1859
1860,1860,1860,,24,,http://reference.data.gov.uk/id/year/1860
1861,1861,1861,,25,,http://reference.data.gov.uk/id/year/1861
1862,1862,1862,,26,,http://reference.data.gov.uk/id/year/1862
1863,1863,1863,,27,,http://reference.data.gov.uk/id/year/1863
1864,1864,1864,,28,,http://reference.data.gov.uk/id/year/1864
1865,1865,1865,,29,,http://reference.data.gov.uk/id/year/1865
1866,1866,1866,,30,,http://reference.data.gov.uk/id/year/1866
1867,1867,1867,,31,,http://reference.data.gov.uk/id/year/1867
1868,1868,1868,,32,,http://reference.data.gov.uk/id/year/1868
1869,1869,1869,,33,,http://reference.data.gov.uk/id/year/1869
1870,1870,1870,,34,,http://reference.data.gov.uk/id/year/1870
1871,1871,1871,,35,,http://reference.data.gov.uk/id/year/1871
1872,1872,1872,,36,,http://reference.data.gov.uk/id/year/1872
1873,1873,1873,,37,,http://reference.data.gov.uk/id/year/1873
1874,1874,1874,,38,,http://reference.data.gov.uk/id/year/1874
1875,1875,1875,,39,,http://reference.data.gov.uk/id/year/1875
1876,1876,1876,,40,,http://reference.data.gov.uk/id/year/1876
1877,1877,1877,,41,,http://reference.data.gov.uk/id/year/1877
1878,1878,1878,,42,,http://reference.data.gov.uk/id/year/1878
1879,1879,1879,,43,,http://reference.data.gov.uk/id/year/1879
1880,1880,1880,,44,,http://reference.data.gov.uk/id/year/1880
1881,1881,1881,,45,,http://reference.data.gov.uk/id/year/1881
1882,1882,1882,,46,,http://reference.data.gov.uk/id/year/1882
1883,1883,1883,,47,,http://reference.data.gov.uk/id/year/1883
1884,1884,1884,,48,,http://reference.data.gov.uk/id/year/1884
1885,1885,1885,,49,,http://reference.data.gov.uk/id/year/1885
1886,1886,1886,,50,,http://reference.data.gov.uk/id/year/1886
1887,1887,1887,,51,,http://reference.data.gov.uk/id/year/1887
1888,1888,1888,,52,,http://reference.data.gov.uk/id/year/1888
1889,1889,1889,,53,,http://reference.data.gov.uk/id/year/1889
1890,1890,1890,,54,,http://reference.data.gov.uk/id/year/1890
1891,1891,1891,,55,,http://reference.data.gov.uk/id/year/1891
1892,1892,1892,,56,,http://reference.data.gov.uk/id/year/1892
1893,1893,1893,,57,,http://reference.data.gov.uk/id/year/1893
1894,1894,1894,,58,,http://reference.data.gov.uk/id/year/1894
1895,1895,1895,,59,,http://reference.data.gov.uk/id/year/1895
1896,1896,1896,,60,,http://reference.data.gov.uk/id/year/1896
1897,1897,1897,,61,,http://reference.data.gov.uk/id/year/1897
1898,1898,1898,,62,,http://reference.data.gov.uk/id/year/1898
1899,1899,1899,,63,,http://reference.data.gov.uk/id/year/1899
1900,1900,1900,,64,,http://reference.data.gov.uk/id/year/1900
1901,1901,1901,,65,,http://reference.data.gov.uk/id/year/1901
1902,1902,1902,,66,,http://reference.data.gov.uk/id/year/1902
1903,1903,1903,,67,,http://reference.data.gov.uk/id/year/1903
1904,1904,1904,,68,,http://reference.data.gov.uk/id/year/1904
1905,1905,1905,,69,,http://reference.data.gov.uk/id/year/1905
1906,1906,1906,,70,,http://reference.data.gov.uk/id/year/1906
1907,1907,1907,,71,,http://reference.data.gov.uk/id/year/1907
1908,1908,1908,,72,,http://reference.data.gov.uk/id/year/1908
1909,1909,1909,,73,,http://reference.data.gov.uk/id/year/1909
1910,1910,1910,,74,,http://reference.data.gov.uk/id/year/1910
1911,1911,1911,,75,,http://reference.data.gov.uk/id/year/1911
1912,1912,1912,,76,,http://reference.data.gov.uk/id/year/1912
1913,1913,1913,,77,,http://reference.data.gov.uk/id/year/1913
1914,1914,1914,,78,,http://reference.data.gov.uk/id/year/1914
1915,1915,1915,,79,,http://reference.data.gov.uk/id/year/1915
1916,1916,1916,,80,,http://reference.data.gov.uk/id/year/1916
1917,1917,1917,,81,,http://reference.data.gov.uk/id/year/1917
1918,1918,1918,,82,,http://reference.data.gov.uk/id/year/1918
1919,1919,1919,,83,,http://reference.data.gov.uk/id/year/1919
1920,1920,1920,,84,,http://reference.data.gov.uk/id/year/1920
1921,1921,1921,,85,,http://reference.data.gov.uk/id/year/1921
1922,1922,1922,,86,,http://reference.data.gov.uk/id/year/1922
1923,1923,1923,,87,,http://reference.data.gov.uk/id/year/1923
1924,1924,1924,,88,,http://reference.data.gov.uk/id/year/1924
1925,1925,1925,,89,,http://reference.data.gov.uk/id/year/1925
1926,1926,1926,,90,,http://reference.data.gov.uk/id/year/1926
1927,1927,1927,,91,,http://reference.data.gov.uk/id/year/1927
1928,1928,1928,,92,,http://reference.data.gov.uk/id/year/1928
1929,1929,1929,,93,,http://reference.data.gov.uk/id/year/1929
1930,1930,1930,,94,,http://reference.data.gov.uk/id/year/1930
1931,1931,1931,,95,,http://reference.data.gov.uk/id/year/1931
1932,1932,1932,,96,,http://reference.data.gov.uk/id/year/1932
1933,1933,1933,,97,,http://reference.data.gov.uk/id/year/1933
1934,1934,1934,,98,,http://reference.data.gov.uk/id/year/1934
1935,1935,1935,,99,,http://reference.data.gov.uk/id/year/1935
1936,1936,1936,,100,,http://reference.data.gov.uk/id/year/1936
1937,1937,1937,,101,,http://reference.data.gov.uk/id/year/1937
1938,1938,1938,,102,,http://reference.data.gov.uk/id/year/1938
1939,1939,1939,,103,,http://reference.data.gov.uk/id/year/1939
1940,1940,1940,,104,,http://reference.data.gov.uk/id/year/1940
1941,1941,1941,,105,,http://reference.data.gov.uk/id/year/1941
1942,1942,1942,,106,,http://reference.data.gov.uk/id/year/1942
1943,1943,1943,,107,,http://reference.data.gov.uk/id/year/1943
1944,1944,1944,,108,,http://reference.data.gov.uk/id/year/1944
1945,1945,1945,,109,,http://reference.data.gov.uk/id/year/1945
1946,1946,1946,,110,,http://reference.data.gov.uk/id/year/1946
1947,1947,1947,,111,,http://reference.data.gov.uk/id/year/1947
